initial_m1,initial_m2,e,w022,#orbits,L0,J0ADMx,J0ADMy,J0ADMz,initial-separation,final-mass,final-chi,peak-omega-22,peak-ampl-22,peak-luminosity-ergs-per-sec,final-kick
0.5,0.5,0.7,0.007390109739,0.483616869641282,0.549257886140324,0.0,0.0,0.549257886140324,11.3672709018,0.9768056486,0.5390239911,0.262080368,0.249098989,2.5043216e+55,0.0
0.2,0.8,0.9984,0.002463369913,0.0984018501741498,0.0344441645671778,0.0,0.0,0.0344441645671778,24.6087879252,0.9933785518,0.0343932295,0.010680331,0.315551134,9.1027616e+54,4.15
0.2,0.8,0.215,0.007390109739,3.12044701278999,0.569595404793376,0.0,0.0,0.569595404793376,11.330671478,0.9781148355,0.4679993651,0.319359488,0.235071559,1.2519833e+56,150.79
0.2,0.8,0.99,0.007390109739,0.467892570180404,0.0642882566132095,0.0,0.0,0.0642882566132095,11.330671478,0.9862911142,0.065130839,0.0599871192,0.0808641395,1.3800214e+53,0.05
0.473684210526316,0.526315789473684,0.8775,0.002463369913,0.567603809049461,0.46964861554162,0.0,0.0,0.46964861554162,24.6421942616,0.9873982979,0.4595165536,0.245684856,0.227474765,6.5636127e+55,11.4
0.333333333333333,0.666666666666667,0.01,0.007390109739,9.08793634851846,0.887372884858297,0.0,0.0,0.887372884858297,11.3559761468,0.9612829877,0.6234710058,0.346185747,0.344357534,2.7557218e+56,146.11
0.285714285714286,0.714285714285714,0.64,0.002463369913,1.02832936833261,0.659033447256521,0.0,0.0,0.659033447256521,24.6252729559,0.9788628506,0.6019942614,0.354853079,0.311893836,2.277712e+56,207.28
0.5,0.5,0.0006021074,Nan,Nan,1.23493518790102,0.0,0.0,1.23493518790102,20.0,0.9511302287,0.6867194052,Nan,Nan,3.7271944e+56,0.0
0.5,0.5,0.19,0.002463369913,31.6833916039216,1.20990582067254,0.0,0.0,1.20990582067254,24.6424534352,0.9513038244,0.6861699297,0.357059207,0.39513682,3.6979645e+56,0.0
0.0303030303030303,0.96969696969697,0.75,0.002463369913,0.727222978096202,0.0790643490828239,0.0,0.0,0.0790643490828239,24.5599894094,0.9988900627,0.0781863809,0.229960716,0.0295938982,1.6183159e+54,6.04
0.2,0.8,0.03,0.007390109739,10.4035974833409,0.633165897708887,0.0,0.0,0.633165897708887,11.330671478,0.9778750693,0.4713005824,0.322955346,0.241020753,1.3254558e+56,152.14
0.444444444444444,0.555555555555556,0.9951,0.002463369913,0.355614709642728,0.0930275922046534,0.0,0.0,0.0930275922046534,24.6412983684,0.9895753874,0.0927816176,0.0236123488,0.431827229,2.2850297e+55,2.47
0.166666666666667,0.833333333333333,0.75,0.002463369913,0.627649759575665,0.373736371380803,0.0,0.0,0.373736371380803,24.600895937,0.9927209245,0.3637603814,0.23938494,0.163944937,4.4286037e+55,103.51
0.285714285714286,0.714285714285714,0.99,0.002463369913,0.147388682444452,0.109838907876095,0.0,0.0,0.109838907876095,24.6252729559,0.9914438371,0.1095351583,0.0337683719,0.360191792,1.6084027e+55,8.18
0.333333333333333,0.666666666666667,0.3,0.007390109739,1.49686476233085,0.746169643659133,0.0,0.0,0.746169643659133,11.3559761468,0.9628256104,0.6419456897,0.344847536,0.367469214,3.2597557e+56,135.82
0.449464,0.561551,0.0014183632,0.007873020576694,8.8618122177664,0.951634642705456,-6.87523e-11,-3.28748e-12,0.990364,11.3660159880366,0.9526965178,0.6796193355,0.356725339,0.388354353,3.5995447e+56,58.84
0.444444444444444,0.555555555555556,0.9999,0.002463369913,0.313559079060903,0.0132896560292256,0.0,0.0,0.0132896560292256,24.6412983684,0.9896149612,0.0132619822,0.00320114561,0.431870322,2.1948269e+55,1.71
0.2,0.8,0.07,0.007390109739,8.59733220374631,0.619973494810903,0.0,0.0,0.619973494810903,11.330671478,0.9778165508,0.4723798504,0.320125715,0.242253488,1.3397082e+56,153.45
0.0303030303030303,0.96969696969697,0.0011080104,0.012591743429298,13.1035943748047,0.10769618283416,0.0,0.0,0.10769618283416,8.0,0.9978538125,0.097761953,0.279724583,0.0424230697,4.2414646e+54,9.75
0.166666666666667,0.833333333333333,0.6636,0.002463369913,1.02219429141325,0.433534190801729,0.0,0.0,0.433534190801729,24.600895937,0.9908596247,0.4139568161,0.357470004,0.176205123,7.7020075e+55,155.56
0.285714285714286,0.714285714285714,0.96,0.002463369913,0.246254842685035,0.219677815752166,0.0,0.0,0.219677815752166,24.6252729559,0.9912568371,0.2183222003,0.167073239,0.165189831,2.0767371e+55,19.51
0.333333333333333,0.666666666666667,0.4,0.007390109739,0.944064024439636,0.690818853939748,0.0,0.0,0.690818853939748,11.3559761468,0.970670144,0.6309145125,0.351332356,0.335451665,2.5680878e+56,176.38
0.5,0.5,0.3276,0.002463369913,15.8431428396657,1.10235863661276,0.0,0.0,1.10235863661276,24.6424534352,0.9508768245,0.6855195723,0.354800691,0.395646735,3.6795578e+56,0.0
0.0303030303030303,0.96969696969697,0.5775,0.002463369913,1.11351598147028,0.102783653807678,0.0,0.0,0.102783653807678,24.5599894094,0.9987904397,0.1012025202,0.282828105,0.0422952956,4.2350124e+54,11.12
0.5,0.5,0.235,0.007390109739,2.34448204719744,0.877094507446426,0.0,0.0,0.877094507446426,11.3672709018,0.9505235866,0.6808873569,0.353568655,0.390544355,3.5213444e+56,0.0
0.166666666666667,0.833333333333333,0.19,0.002463369913,43.3043131424645,0.672725468485455,0.0,0.0,0.672725468485455,24.600895937,0.9827227041,0.4161981318,0.322216503,0.21233841,9.8012443e+55,131.09
0.473684210526316,0.526315789473684,0.7975,0.002463369913,0.636596864405832,0.603833934267797,0.0,0.0,0.603833934267797,24.6421942616,0.9840622773,0.5795952198,0.269226112,0.278860895,1.2910389e+56,22.27
